evaluator,eval_date,query_id,question_kr,domain,type,baseline,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,best_worst,comment_R1,comment_R2,comment_R3,comment_R4,comment_R5
Claude_Opus,2026-03-17,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B3,3,5,1,2,3,14,,"Nakashima 2015·Xu 2017 등 방향(BMD 주요 위험·>5mm 임상 유의)은 실제 문헌과 일치하나 세부 수치(4.8x·68% vs 28%) 검증 불가","위험인자(bone quality·형태·나이·수술기법)·임상영향(ODI·VAS·ASD·fusion·재수술) 전 도메인 — 포괄성 B2와 동일 최고","0건 검색; Level 3-4 자체 선언만 있고 실제 산정 불가","저자+연도 인용; Nakashima·Kakutani·Yoshii 등 척추 분야 실존 연구자이나 수치 매칭 확인 불가","<3-4mm 양성·>5mm 감시 권고 등 임상 지침 제시; 수치 신뢰 불확실로 추가 검증 필요"
Claude_Opus,2026-03-17,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B4,4,4,4,5,4,21,best,"BMD·EBQ·sarcopenia·fixation(TFS 16% vs BPS 10%)·endplate 준비 등 정확; BMP cost-effectiveness 논문(pubmed_23646277) 혼입은 감점 요인이나 답변 의학 주장은 정확","환자요인·수술요인(고정방법 비교 포함)·임상결과(fusion rate·disc height 유지·재수술) 포괄; ODI·VAS 직접 데이터 부족","1a 3편·2a 1편·2b 6편; subsidence 직접 논문과 고수준 논문 공존 — Level 1-2 혼합","pubmed ID 전부 확인 가능; 수치 직접 검증 가능","TFS·BPS 비교 수치·disc height 유지 데이터로 임상 상담 가능"
Claude_Opus,2026-03-17,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B1,4,1,1,5,1,12,worst,"오류 없으나 micro vs endoscopic 비교 논문 거의 없음; 내시경 fusion·donepezil·wearable 등 비관련 논문 위주","직접 비교 논문 0편에 가까움; 질문에 실질적 답변 불가 — 관련 없는 내용 위주","1a 1편(wearable device SR)은 질문과 무관; 유효 EL 사실상 없음","pubmed ID 전부 확인 가능","임상 결정 전혀 불가"
Claude_Opus,2026-03-17,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B2,5,4,5,5,5,24,best,"pubmed_41666862(1a SR)·38190892(1a): 출혈 33.29mL 감소(p=0.0032)·LOS 1.79일 감소(p=0.001)·SSI RR 0.23·durotomy RR 0.63 — 모든 수치 정확","임상효능·수술안전성(출혈·감염·경막파열)·재발 caveat(pubmed_41482265)·증거한계 포괄; 학습곡선·비용 약간 부족","1a 7편·1b 2편·2b 1편 — Level 1 위주 최고 수준 포트폴리오","pubmed ID 전부 확인; 수치 pubmed 직접 검증 가능","수치 제시·균형 결론·recurrent herniation 주의포함; 추가 검색 없이 임상 활용 가능"
Claude_Opus,2026-03-17,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B3,3,4,1,2,3,13,,"Kamper 2014(Cochrane) 실존 확인; Katayama 2006·Ruan 2018 불확실; microdiscectomy를 reference standard로 단정 → 최신 NMA(PED 선호)와 방향 불일치","통증·기능·합병증·수술 특성·장기 결과·환자 만족 포괄하나 최신 고품질 연구 미반영","0건 검색; Level 1 주장하나 Kamper 외 대부분 산정 불가","저자+연도; Kamper(Cochrane) 실존하나 Katayama·Jasper 등 다수 불확실","결론 방향이 최신 NMA와 일부 불일치(micro 우위 주장); 참고는 가능하나 방향 수정 필요"
Claude_Opus,2026-03-17,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B4,5,4,5,5,5,24,best,"pubmed_38190892로 B2 동일 수치 확인; pubmed_34213864(NMA)에서 PED preferred approach 권고; pubmed_40611244에서 EDF 최고 성적 — 최신 근거 정확 반영","임상효능·수술이점·접근법 권고·증거한계 포괄; B2보다 PED 권고로 actionability 약간 높음. 재발 caveat은 미포함","1a 6편·1b 3편 — B2와 동일한 최고 수준 Level 1 위주","pubmed ID 전부 확인; 수치 검증 가능","수치·명확 권고(PED preferred)·비교 이점 포함; 임상 결정 즉시 활용 가능"
Claude_Opus,2026-03-17,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B1,4,2,3,5,2,16,,"오류 없음; pubmed_39399091(1a)·25279655(2b)·21612985(2b) 관련 논문 확인; retrograde ejaculation 위험 인식 정확","fusion 수치 미제시·합병증 RE만 피상적·암위험 전무; 3 도메인 중 fusion과 합병증만 일부 — 한쪽 치우침","1a 1편(pubmed_39399091) 직접 관련; 나머지 대부분 비관련 2b·4 — Level 2-3 range","pubmed ID 전부 확인 가능","BMP-2 사용 결정 위한 수치 부족; 암위험 공백 — 방향성만 참고 수준"
Claude_Opus,2026-03-17,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B2,4,4,4,5,3,20,,"ALIF 97.8% vs 88.2%·PLIF/TLIF 95.7% vs 89.5%(pubmed_31218198) 정확; FDA SR(pubmed_21729796) 합병증 증가 근거 포함","fusion(유형별)·합병증(radiculitis·seroma·RE·ectopic bone·FDA 분석) 포괄; 암위험 absent — 핵심 포함하나 1 도메인 누락","1a 3편(pubmed_39399091·21729796·25955186)·2b 다수; FDA SR 포함 — Level 1-2 혼합","pubmed ID 전부 확인 가능; 수치 검증 가능","fusion 수치·합병증 이중성 명시로 임상 토론 가능; 암위험 absent로 informed consent 불완전"
Claude_Opus,2026-03-17,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B3,2,5,1,2,3,13,worst,"Friedlaender 2011 오귀속(실제: BMP-7 경골골절 RCT)·Reuben 인용(연구조작 전력) — 심각한 citation 오류; 전체 방향은 맞으나 핵심 인용 2건 부정확","fusion·합병증(radiculitis·RE·seroma·ectopic bone)·암위험(Carragee·FDA 블랙박스)까지 3 도메인 모두 포괄 — 포괄성 최고","0건 검색; Level 1 주장하나 Friedlaender 오귀속으로 실제 근거수준 불신","저자+연도; Carragee·Burkus 실존 가능하나 Friedlaender 명백 오귀속 — 확인 가능한 인용 소수","암위험까지 다루어 포괄적 상담 가능하나 핵심 인용 오류로 검증 없이 사용 위험"
Claude_Opus,2026-03-17,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B4,5,4,5,5,4,23,best,"ALIF fusion 79.1→96.9%·TLIF ~2% 이득·PLF ≥8.5mg/level(pubmed_26613283 1a); 합병증 OR 1.78·HO OR 5.57·RE OR 3.31(pubmed_25772092 1a); FDA 데이터 불일치 명시 — 모든 수치 정확","fusion(5가지 시술유형)·합병증(OR 정량·dose-dependent)·암위험(불충분하나 tumor 비유의 소견) — 구조화 최고; 핵심 포함","1a 7편·1b 2편; NMA·SR·RCT·FDA 분석 포함 — Level 1 위주 최고","pubmed ID 전부 확인 가능; OR 수치 메타분석으로 직접 검증 가능","절차별 이익-위험·FDA 격차 경고·비용효과 언급 — 임상 의사결정 최고 수준; 암위험만 추가 필요"
